,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4674,2022,1,30,FELIPE D AVILA,RJ,43091,0.46
4675,2022,1,22,JAIR BOLSONARO,RJ,4831246,51.09
4676,2022,1,44,SORAYA THRONICKE,RJ,44252,0.47
4677,2022,1,80,LÉO PÉRICLES,RJ,7080,0.07
4678,2022,1,16,VERA,RJ,2643,0.03
4679,2022,1,15,SIMONE TEBET,RJ,365969,3.87
4680,2022,1,21,SOFIA MANZANO,RN,606,0.03
4681,2022,1,27,CONSTITUINTE EYMAEL,RN,243,0.01
4682,2022,1,13,LULA,RN,1264179,62.98
4683,2022,1,12,CIRO GOMES,RN,71740,3.57
4684,2022,1,14,ROBERTO JEFFERSON,RN,860,0.04
4685,2022,1,14,PADRE KELMON,RN,860,0.04
4686,2022,1,30,FELIPE D AVILA,RN,2937,0.15
4687,2022,1,22,JAIR BOLSONARO,RN,622731,31.02
4688,2022,1,44,SORAYA THRONICKE,RN,4326,0.22
4689,2022,1,80,LÉO PÉRICLES,RN,587,0.03
4690,2022,1,16,VERA,RN,422,0.02
4691,2022,1,15,SIMONE TEBET,RN,38633,1.92
4692,2022,1,21,SOFIA MANZANO,RO,232,0.03
4693,2022,1,27,CONSTITUINTE EYMAEL,RO,111,0.01
4694,2022,1,13,LULA,RO,261749,28.98
4695,2022,1,12,CIRO GOMES,RO,19353,2.14
4696,2022,1,14,ROBERTO JEFFERSON,RO,749,0.08
4697,2022,1,14,PADRE KELMON,RO,749,0.08
4698,2022,1,30,FELIPE D AVILA,RO,2398,0.27
4699,2022,1,22,JAIR BOLSONARO,RO,581306,64.36
4700,2022,1,44,SORAYA THRONICKE,RO,5777,0.64
4701,2022,1,80,LÉO PÉRICLES,RO,204,0.02
4702,2022,1,16,VERA,RO,139,0.02
4703,2022,1,15,SIMONE TEBET,RO,31217,3.46
4704,2022,1,21,SOFIA MANZANO,RR,64,0.02
4705,2022,1,27,CONSTITUINTE EYMAEL,RR,37,0.01
4706,2022,1,13,LULA,RR,68760,23.05
4707,2022,1,12,CIRO GOMES,RR,6709,2.25
4708,2022,1,14,ROBERTO JEFFERSON,RR,190,0.06
4709,2022,1,14,PADRE KELMON,RR,190,0.06
4710,2022,1,30,FELIPE D AVILA,RR,794,0.27
4711,2022,1,22,JAIR BOLSONARO,RR,207587,69.57
4712,2022,1,44,SORAYA THRONICKE,RR,1138,0.38
4713,2022,1,80,LÉO PÉRICLES,RR,59,0.02
4714,2022,1,16,VERA,RR,75,0.03
4715,2022,1,15,SIMONE TEBET,RR,12956,4.34
4716,2022,1,21,SOFIA MANZANO,RS,2399,0.04
4717,2022,1,27,CONSTITUINTE EYMAEL,RS,885,0.01
4718,2022,1,13,LULA,RS,2806672,42.28
4719,2022,1,12,CIRO GOMES,RS,190945,2.88
4720,2022,1,14,ROBERTO JEFFERSON,RS,4394,0.07
4721,2022,1,14,PADRE KELMON,RS,4394,0.07
4722,2022,1,30,FELIPE D AVILA,RS,40601,0.61
4723,2022,1,22,JAIR BOLSONARO,RS,3245023,48.89
4724,2022,1,44,SORAYA THRONICKE,RS,25207,0.38
